,stop_id,stop_name,stop_lat,stop_lon,hasPark,geometry,GridID,link_dist,linkid,node_dist,nodeid,lat_node,lon_node
89,STOP_b7df8404-b783-4731-a3de-33b77167f80e,Thornton Rd @ Bankhead Hwy,33.7973464,-84.6436715,False,POINT (2151675.023354596 1381656.554049076),189.0,29.6333854246,31292,57.8373705832,33027,1381702.98657,2151640.53883
90,STOP_7050625b-a9d6-45dd-9ea8-79d7e55968c6,Thornton Rd @ Bankhead Hwy N,33.7975603,-84.6435857,False,POINT (2151701.448978849 1381734.26606805),189.0,52.1856733615,31284,68.4722807494,33027,1381702.98657,2151889.15874
91,STOP_e3133ab4-8cb7-4555-93b3-3faba9b51fe7,Thornton Rd @ Maxham Rd,33.7893753,-84.6237159,False,POINT (2157724.475094324 1378728.59240893),189.0,18.8274910139,198037,84.2154728307,305216,1378709.40364,2156909.10474
92,STOP_82875802-85f5-44e6-86a6-eb0b5d77b45d,Thornton Rd @ Maxham Rd N,33.7897587,-84.623791,False,POINT (2157702.277357516 1378868.20273239),189.0,96.7960690811,198037,189.9325331,305216,1378709.40364,2156909.10474
93,STOP_0c2e82f3-d5a1-4a82-bcbf-219194c3301b,Thornton Rd @ N Blairs Bridge Rd N,33.7795575,-84.6068823,False,POINT (2162823.567938587 1375133.889838928),189.0,81.9690611423,32844,82.7033579417,33164,1375052.34632,2162837.37011
94,STOP_16153206-724d-4aac-a936-7ade27ff5271,Thornton Rd @ N Blairs Bridge Rd S,33.7794773,-84.6072257,False,POINT (2162719.100102836 1375105.153180694),189.0,20.5736189974,32453,96.8527722972,33163,1375027.13509,2162206.70438
95,STOP_40f29da1-1006-4e7b-8041-2f98b7c895de,Thornton Rd @ Oak Ridge Rd,33.783392,-84.6097684,False,POINT (2161952.618034846 1376532.91838172),189.0,96.6793315338,32454,148.841964587,199588,1376548.68027,2161804.61299
96,STOP_d5b4d0b9-f615-40ee-8dc1-f9edacf74962,Thornton Rd @ Skyview Dr,33.7819385,-84.6088672,False,POINT (2162224.168304813 1376002.852959106),189.0,28.438848269,32453,76.7088143224,33187,1376077.54736,2162206.70438
97,STOP_cc2a7a34-e728-4710-bc09-9cb16ae12282,Thornton Rd @ Westfork Blvd,33.792291,-84.6300995,False,POINT (2155789.792042454 1379798.203250903),189.0,95.6924308472,201790,1139.55908876,33088,1380207.84684,2154726.40733
98,STOP_7be618c3-765a-4f46-83a4-1b306a89f681,Town Center/Big Shanty,34.0275707,-84.5705652,False,POINT (2174213.478656594 1465335.539516289),192.0,24.8679159828,180131,63.3837850786,993535,1465365.15684,2174021.46094
99,6933,Triangle Pkwy at Metric Dr (N),33.9753055,-84.2239274,False,POINT (2279224.371403896 1446080.682252503),291.0,8.49858988856,37130,48.4747272558,109693,1446087.26298,2279176.34544
100,6932,Triangle Pkwy at Metric Dr (S),33.9753556,-84.2242891,False,POINT (2279114.729941837 1446098.974077631),291.0,33.3438411176,37074,62.7185731783,109693,1446087.26298,2278664.60106
101,6953,Union City P&R,33.5866936,-84.5124578,True,POINT (2191279.765674398 1304847.985863012),206.0,0.201986069174,204697,7.55082622563,993525,1304840.43819,2191279.54748
102,6916,W Johns Crossing @ Emory Hospital,34.067414,-84.1749179,False,POINT (2294084.619003193 1479592.628564352),293.0,36.8710043243,203421,79.4225624838,232286,1479607.00467,2294433.46519
103,W Peachtree St @ 12th St,W Peachtree St @ 12th St,33.78425259,-84.38782298,False,POINT (2229388.721089438 1376628.693065146),249.0,9.32729346345,32467,70.4002082363,51931,1376698.15635,2229400.16842
104,6896,W Peachtree St @ 5th St,33.7760885,-84.3872416,False,POINT (2229559.005196201 1373657.651054606),248.0,19.5065640026,33213,77.0807161709,51879,1373583.12124,2229539.6665
105,6899,W Peachtree St @ Arts Center MARTA Station,33.7892148,-84.3876922,False,POINT (2229432.329916415 1378434.206629124),249.0,0.00927329251607,176318,25.5961861492,285785,1378437.44749,2229406.93973
106,6904,W Peachtree St @ Civic Center MARTA Station (northbound),33.7661533,-84.3874776,False,POINT (2229479.549019166 1370042.693618472),248.0,2.49070017314,129259,83.8220414737,51097,1370126.4838,2229476.81722
107,6887,W Peachtree St @ Civic Center MARTA Station (southbound),33.7661444,-84.3875849,False,POINT (2229446.933866836 1370039.525051443),248.0,26.6651320879,35309,125.885595895,990026,1370162.20486,2229448.36681
108,6897,W Peachtree St @ Peachtree Pl,33.780596,-84.387328,False,POINT (2229536.263416494 1375297.848556044),249.0,20.1202455427,183196,67.2458018754,51929,1375347.99829,2229491.46384
109,6894,W Peachtree St @ Ponce de Leon Ave,33.7721199,-84.3872631,False,POINT (2229549.381338057 1372213.613949234),248.0,23.5232799201,127461,69.4910818959,51862,1372280.4831,2229530.47295
110,6900,W Peachtree St after 14 St,33.7869499,-84.3877137,False,POINT (2229424.02967377 1377610.091540404),249.0,24.490827268,32151,103.600175363,51950,1377509.59239,2229403.36231
111,Wall St (EB) @ Central Ave,Wall St (EB) @ Central Ave,33.7526685,-84.38853165,False,POINT (2229148.667239997 1365136.690268807),248.0,70.4151857803,173791,73.8644083344,13230,1365109.27632,2229217.25606
112,7008,Washington St @ MLK Jr Dr,33.7503117,-84.3884003,False,POINT (2229186.7465583 1364279.040716593),248.0,45.794074343,164044,46.0313860964,224903,1364257.79967,2229172.6925
113,6947,West Conyers P&R (Sigman Rd -  Downtown),33.6851303,-84.0588963,True,POINT (2329365.190687482 1340506.47084474),327.0,10.9863257156,202731,27.477869385,993516,1340533.45736,2329397.7614
114,6946,West Conyers P&R (Sigman Rd -  Midtown),33.6851328,-84.0566843,True,POINT (2330038.041688049 1340508.089644551),327.0,13.5695801691,202738,13.9901078579,994516,1340508.24743,2330006.28709
115,2221057,West Conyers P&R (Sigman Rd - Perimeter),33.6850857,-84.0569758,True,POINT (2329949.390651396 1340490.857416155),327.0,21.5034971997,202734,76.6602878867,994516,1340508.24743,2329653.51909
116,6990,West Douglas P&R,33.7232689,-84.7735226,True,POINT (2112068.658147034 1354909.146008998),148.0,15.7959067253,184052,24.3604022737,993526,1354893.08776,2112172.73326
117,6873,Williams St @ Baker St,33.7624608,-84.3906641,False,POINT (2228508.259917719 1368701.198042984),248.0,49.7370268997,34843,94.151795532,50923,1368622.04127,2228556.57037
118,6976,Woodstock P&R (His Hands Church),34.0815631,-84.5417543,True,POINT (2183014.443086023 1484949.50031813),213.0,22.7628225677,210643,62.460170455,993537,1484923.96451,2182320.5736
119,8000,Mitchell St (EB) @ Forsyth St,33.751718,-84.394543,False,POINT (2227320.781887148 1364794.818080191),248.0,11.75644311,36512,68.5569620623,50828,1364767.59458,2227383.70198
