stops_link,distance
86172_86170,0.1638
99971917_99972174,1.6332
55124_55148,0.5546
999960_149036,0.1663
80386_80408,0.3298
133046_132030,0.2437
99971219_99971220,0.3717
42130_42064,0.2402
86058_86900,0.7838
106278_106280,0.2222
99972912_99972943,0.8875
105232_105234,0.1079
108140_87901,3.9488
56022_99971335,0.1969
77170_77172,0.0746
144028_144154,0.171
99971980_191003,1.4041
114134_114136,0.146
89004_89006,0.1593
72166_72170,0.2946
99972124_98196,0.1809
99092_99296,0.1166
78486_78396,0.2701
68080_68084,0.2547
86046_86048,0.2207
60220_60182,0.1746
83026_83116,0.1864
47092_47094,0.223
99973331_128170,0.1512
99972726_99972727,0.3206
47096_47102,0.2575
68348_68350,0.2019
10218_10220,0.3485
47164_47166,0.3761
144010_144014,0.223
96058_96056,0.3726
99972062_99972060,0.1279
46224_46226,0.2957
184018_184026,1.0114
54248_54114,0.1145
184098_999947,0.4318
97086_97088,0.2326
77492_999978,0.1609
164034_99970380,1.8432
99246_99250,0.1665
99970538_999876,0.5691
68352_68354,0.115
99972151_99972149,0.1416
99972414_77482,0.5786
137041_137074,0.2251
1000025_99972217,0.264
77118_77120,0.1044
121124_121122,0.2368
74123_74121,0.3999
106002_106004,0.097
114106_101460,0.2618
129064_99972970,0.3694
56012_56014,0.227
102532_99971256,0.1649
22068_22044,0.2351
61016_60108,0.2718
166194_166196,0.2736
64114_64120,0.353
99381_99382,0.1367
26018_26020,0.1915
128170_128070,0.1638
99457_99456,0.0761
79022_79020,0.2486
66608_66328,0.1085
134040_134042,0.0943
68255_68256,0.1053
94031_94032,0.1601
78317_78520,0.1728
71026_72049,1.2387
87097_87002,0.2336
87066_87062,0.1214
66076_66074,0.0506
99972745_99972746,0.3953
99971338_56072,0.2282
110006_110008,0.386
85114_86002,0.3975
123036_122034,0.2004
60010_60018,0.2661
62222_62108,0.2287
60230_60232,0.3091
133087_133126,0.1483
169026_169048,0.3477
1000022_183014,0.6096
99971923_99971826,0.1339
184012_99969956,0.4364
107227_99972072,0.2191
121052_120030,0.4738
99970429_99971686,0.1581
10248_10272,0.3336
101135_99971892,0.3023
70164_70166,0.253
129292_99971614,0.5648
58070_58074,0.3039
115178_115174,0.075
99970315_144068,0.1671
158282_158284,0.1299
99142_99900,0.3902
99971047_77548,1.0296
87074_87076,0.2872
42022_99970795,0.5591
50028_99972168,0.0795
42081_42120,0.2182
99972891_99972892,0.6393
74026_74028,0.3111
99972536_99972537,0.3069
77470_77472,0.1302
77546_99971048,0.0627
120102_120250,0.3156
53100_53096,0.1387
158106_99973223,0.2472
99972258_73180,0.1445
159254_99972463,0.7109
99973306_101448,0.2524
46900_46132,1.7185
125128_124086,0.1849
40914_40260,0.3081
58036_58038,0.2523
72276_71018,0.2437
122088_122090,0.1261
77384_77386,0.4224
117122_117124,0.15
99972301_165044,0.5345
75002_75073,0.2909
99973401_99971059,0.1995
73180_73172,0.3884
55010_55160,0.229
148078_158182,0.2627
166144_165002,0.1582
55190_55192,0.2272
42013_99970997,0.6048
73174_73004,0.182
14034_15044,0.3495
86900_99973351,0.4148
99972607_99972608,0.2476
35066_35060,0.2512
106354_99971978,0.1681
99971768_81910,0.6054
68072_68074,0.0981
58079_58080,0.1137
78276_79274,0.2106
133124_133097,0.2374
99970971_99972324,0.1586
47348_47182,0.2615
99973144_999984,0.127
53334_53336,0.2338
99972826_99972827,0.4461
98098_98176,0.1371
773140_37072,0.1939
99972938_99972662,0.56
99973257_128026,0.4358
120120_120046,0.2811
35033_35132,0.2649
72094_62042,0.2743
59030_59032,0.2082
44006_44008,0.2536
115160_115018,0.4366
159296_159392,0.6887
102296_102294,0.1484
68064_68066,0.1276
99971978_106362,0.5131
21052_21048,0.14
104066_104068,0.227
107278_107280,0.2009
72238_72240,0.1355
99972148_99972150,0.1233
122096_122098,0.0779
21044_21050,0.2412
145012_145014,0.3622
37050_99971527,0.3576
54084_54086,0.1946
99972564_99972566,0.4834
105190_105192,0.118
165006_165008,0.196
128146_99973149,0.4441
99972924_99972691,0.5728
147060_147062,0.116
54228_54104,0.2167
87082_999915,0.2458
99970505_99972131,0.7671
190034_99971769,1.3437
72205_72270,0.1082
148062_148064,0.262
99971102_99970132,0.3079
80292_80296,0.3666
128018_128020,0.2615
131032_131034,0.2511
80308_92160,0.4291
99972188_99972187,0.866
812_430,0.7503
35060_39068,0.5395
134110_134088,1.1994
166060_166067,0.0893
99972789_99972731,0.8343
85100_85102,0.146
113152_113154,0.097
99973265_42900,0.573
60240_60242,0.2336
99972603_99972605,0.2085
122018_122020,0.1381
60196_60198,0.1295
99971906_103052,0.218
21079_21120,0.3583
105339_105448,0.244
39098_39100,0.5843
64100_99969993,0.2705
166068_999848,0.1284
110032_99972195,0.2659
40259_40318,0.331
77184_99971002,0.098
139010_139012,0.2383
99971124_99971125,0.3442
99110_99481,0.2947
99971902_126014,0.1343
107155_107098,0.3061
127038_127040,0.1381
99973113_99973114,0.342
99479_99322,0.1253
116077_126123,0.23
99973238_85244,0.219
98088_98090,0.1459
70354_70356,0.182
97218_97222,0.0914
66042_66044,0.1429
71014_72205,0.3324
99972348_40158,0.237
99972888_99972889,0.3153
107046_106036,0.209
85402_85404,0.147
70356_70226,0.2557
57_112,4.7528
106232_106234,0.1852
151134_999856,0.1505
37012_37016,0.2202
154030_154028,0.3814
146226_146404,0.1404
47310_47174,0.3328
78182_78184,0.1774
137012_138008,0.22
99238_99240,0.1484
102298_99970186,0.3055
85140_85152,0.2442
99973094_99973096,0.3951
999766_999765,0.1691
99972169_105264,0.2572
57034_57032,0.3179
184100_99971269,0.8086
60138_60140,0.172
486_39,2.8196
98246_98238,0.3123
42118_42116,0.1586
113050_113078,0.112
66094_66062,0.4678
78522_770912,0.1488
99971895_99971899,0.123
99973307_99973308,0.3574
99970986_99970968,0.3206
46066_99970376,0.4118
51002_51064,0.2036
183970_183950,0.5597
67169_67292,0.2135
81154_81005,0.171
99969920_99970032,0.2298
99971558_61060,0.3446
99970883_99970880,0.2502
122138_122140,0.254
61188_62234,0.3694
72104_72105,0.1797
46220_46222,0.1531
78406_99971877,0.4224
49008_49012,0.209
82076_82074,0.377
100016_100017,0.1891
56006_63010,0.3369
131092_131094,0.2846
99972853_99973279,1.4582
137036_137038,0.1784
73086_99972002,0.3288
133028_99973347,1.858
152056_152004,0.4375
121010_121012,0.3968
85096_85466,0.101
70240_70042,0.3103
999990_99970115,0.3971
106024_106026,0.135
70294_70296,0.2045
93522_93027,0.1271
61116_61118,0.1881
165117_99971856,0.1902
84168_84154,0.5541
107276_107332,0.1328
99972806_99972807,0.5592
99972211_99970400,0.269
99972806_99972809,0.5021
114236_99972148,0.2405
60076_60072,0.2015
35020_32028,0.4157
