A,B,A_B
500282,281326,500282_281326
281326,233429,281326_233429
233402,281332,233402_281332
281332,50748,281332_50748
281337,201375,281337_201375
51038,281338,51038_281338
281338,281337,281338_281337
51030,281339,51030_281339
209118,281340,209118_281340
51019,51024,51019_51024
281342,51037,281342_51037
51040,281353,51040_281353
281353,281354,281353_281354
51080,281367,51080_281367
281367,51076,281367_51076
51137,281374,51137_281374
281374,233519,281374_233519
281376,51034,281376_51034
281418,234424,281418_234424
50953,281443,50953_281443
281443,233821,281443_233821
224902,281444,224902_281444
281444,50953,281444_50953
51047,281445,51047_281445
51040,281446,51040_281446
281446,51047,281446_51047
281565,50607,281565_50607
280845,281566,280845_281566
281566,50599,281566_50599
246185,281567,246185_281567
246197,281569,246197_281569
281569,232901,281569_232901
281729,233807,281729_233807
283804,276597,283804_276597
283806,233967,283806_233967
198043,283813,198043_283813
51861,285796,51861_285796
340429,285813,340429_285813
285813,281282,285813_281282
340426,285814,340426_285814
285814,232694,285814_232694
50923,286590,50923_286590
286590,50925,286590_50925
51054,286591,51054_286591
286591,286592,286591_286592
286592,51057,286592_51057
50997,286596,50997_286596
286597,50998,286597_50998
50878,286623,50878_286623
286623,50879,286623_50879
50847,297745,50847_297745
297745,281286,297745_281286
50824,298108,50824_298108
233990,299407,233990_299407
299407,51075,299407_51075
50975,299435,50975_299435
299435,50980,299435_50980
50554,299788,50554_299788
50853,299832,50853_299832
299832,234029,299832_234029
50989,299912,50989_299912
299912,299913,299912_299913
299913,50988,299913_50988
50991,299914,50991_299914
299914,50989,299914_50989
276315,50847,276315_50847
300058,256676,300058_256676
300058,281342,300058_281342
50604,300062,50604_300062
300062,233431,300062_233431
275374,300067,275374_300067
300067,51867,300067_51867
50875,300129,50875_300129
300129,50979,300129_50979
281263,300213,281263_300213
300213,50901,300213_50901
232729,300214,232729_300214
300214,280972,300214_280972
224851,300315,224851_300315
300315,276592,300315_276592
50950,300411,50950_300411
300411,50948,300411_50948
51749,300722,51749_300722
50907,300723,50907_300723
300723,50908,300723_50908
50905,300724,50905_300724
300724,276645,300724_276645
50934,300797,50934_300797
300797,50935,300797_50935
270074,500281,270074_500281
51071,276591,51071_276591
50854,50974,50854_50974
50938,320675,50938_320675
320675,276590,320675_276590
270131,324686,270131_324686
328614,276699,328614_276699
328614,276692,328614_276692
51745,331072,51745_331072
331072,331073,331072_331073
331073,232905,331073_232905
334672,50815,334672_50815
334672,50813,334672_50813
50984,335772,50984_335772
335772,276280,335772_276280
50982,335773,50982_335773
335773,335774,335773_335774
335774,50990,335774_50990
335779,281729,335779_281729
50820,340242,50820_340242
340242,233808,340242_233808
340243,50822,340243_50822
340243,50819,340243_50819
233879,340244,233879_340244
340244,233868,340244_233868
50831,340456,50831_340456
340456,234055,340456_234055
51026,10435,51026_10435
51456,51454,51456_51454
10467,51141,10467_51141
50732,50612,50732_50612
50545,50606,50545_50606
11740,51077,11740_51077
12776,261393,12776_261393
51860,51859,51860_51859
51106,51105,51106_51105
51105,51104,51105_51104
51104,51103,51104_51103
51126,51124,51126_51124
51101,51095,51101_51095
51101,51090,51101_51090
51095,51096,51095_51096
51090,50943,51090_50943
50945,50942,50945_50942
50942,50941,50942_50941
50917,50904,50917_50904
50904,50903,50904_50903
51087,500281,51087_500281
51058,51060,51058_51060
50926,50920,50926_50920
50921,50920,50921_50920
50919,50916,50919_50916
51074,51073,51074_51073
51127,51128,51127_51128
51141,51048,51141_51048
51141,51042,51141_51042
50993,50885,50993_50885
50864,50863,50864_50863
50863,50862,50863_50862
50883,50882,50883_50882
50882,50987,50882_50987
50987,50982,50987_50982
50859,50868,50859_50868
50982,50983,50982_50983
50868,50869,50868_50869
51044,51456,51044_51456
50869,50872,50869_50872
51001,51000,51001_51000
50872,50871,50872_50871
50871,50854,50871_50854
