stop_id,thrs,service_id,stop_lat,stop_lon,has_park,type,stop_name,x,y,stop_key,nodeid
796,7.95,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_075700,50832
797,7.96666666667,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_075800,281277
201,7.98333333333,5,33.750143,-84.385882,False,rail,GEORGIA STATE STATION,2229952.062,1364216.02,201_075900,50953
798,8.01666666667,5,33.749951,-84.375675,False,rail,KING MEMORIAL STATION,2233054.38,1364139.716,798_080100,300648
799,8.06666666667,5,33.757451,-84.352762,True,rail,INMAN PARK-REYNOLDSTOWN STATION,2240023.816,1366855.382,799_080400,286241
204,8.1,5,33.761866,-84.340456,True,rail,EDGEWOOD-CANDLER PARK STATION,2243766.662,1368455.332,204_080600,500053
185,8.15,5,33.765241,-84.312937,True,rail,EAST LAKE STATION,2252131.768,1369670.404,185_080900,80538
206,8.2,5,33.774681,-84.295319,False,rail,DECATUR STATION,2257490.17,1373098.181,206_081200,81307
800,8.26666666667,5,33.775554,-84.281487,True,rail,AVONDALE STATION,2261693.611,1373410.874,800_081600,81440
232,8.31666666667,5,33.772647,-84.251607,True,rail,KENSINGTON STATION,2270772.187,1372344.309,232_081900,500061
801,8.35,5,33.769856,-84.228906,True,rail,INDIAN CREEK STATION,2277669.815,1371323.828,801_082100,500062
27,7.98333333333,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_075900,233006
28,8.03333333333,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_080200,281207
485,8.08333333333,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_080500,48047
470,8.1,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_080600,48276
796,8.11666666667,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_080700,50832
797,8.13333333333,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_080800,281277
201,8.15,5,33.750143,-84.385882,False,rail,GEORGIA STATE STATION,2229952.062,1364216.02,201_080900,50953
798,8.18333333333,5,33.749951,-84.375675,False,rail,KING MEMORIAL STATION,2233054.38,1364139.716,798_081100,300648
799,8.23333333333,5,33.757451,-84.352762,True,rail,INMAN PARK-REYNOLDSTOWN STATION,2240023.816,1366855.382,799_081400,286241
204,8.26666666667,5,33.761866,-84.340456,True,rail,EDGEWOOD-CANDLER PARK STATION,2243766.662,1368455.332,204_081600,500053
185,8.31666666667,5,33.765241,-84.312937,True,rail,EAST LAKE STATION,2252131.768,1369670.404,185_081900,80538
206,8.36666666667,5,33.774681,-84.295319,False,rail,DECATUR STATION,2257490.17,1373098.181,206_082200,81307
800,8.43333333333,5,33.775554,-84.281487,True,rail,AVONDALE STATION,2261693.611,1373410.874,800_082600,81440
232,8.48333333333,5,33.772647,-84.251607,True,rail,KENSINGTON STATION,2270772.187,1372344.309,232_082900,500061
801,8.51666666667,5,33.769856,-84.228906,True,rail,INDIAN CREEK STATION,2277669.815,1371323.828,801_083100,500062
27,8.15,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_080900,233006
28,8.2,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_081200,281207
485,8.25,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_081500,48047
470,8.26666666667,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_081600,48276
796,8.28333333333,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_081700,50832
797,8.3,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_081800,281277
201,8.31666666667,5,33.750143,-84.385882,False,rail,GEORGIA STATE STATION,2229952.062,1364216.02,201_081900,50953
798,8.35,5,33.749951,-84.375675,False,rail,KING MEMORIAL STATION,2233054.38,1364139.716,798_082100,300648
799,8.4,5,33.757451,-84.352762,True,rail,INMAN PARK-REYNOLDSTOWN STATION,2240023.816,1366855.382,799_082400,286241
204,8.43333333333,5,33.761866,-84.340456,True,rail,EDGEWOOD-CANDLER PARK STATION,2243766.662,1368455.332,204_082600,500053
185,8.48333333333,5,33.765241,-84.312937,True,rail,EAST LAKE STATION,2252131.768,1369670.404,185_082900,80538
206,8.53333333333,5,33.774681,-84.295319,False,rail,DECATUR STATION,2257490.17,1373098.181,206_083200,81307
800,8.6,5,33.775554,-84.281487,True,rail,AVONDALE STATION,2261693.611,1373410.874,800_083600,81440
232,8.65,5,33.772647,-84.251607,True,rail,KENSINGTON STATION,2270772.187,1372344.309,232_083900,500061
801,8.68333333333,5,33.769856,-84.228906,True,rail,INDIAN CREEK STATION,2277669.815,1371323.828,801_084100,500062
27,8.31666666667,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_081900,233006
28,8.36666666667,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_082200,281207
485,8.41666666667,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_082500,48047
470,8.43333333333,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_082600,48276
796,8.45,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_082700,50832
797,8.46666666667,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_082800,281277
