stop_id,thrs,service_id,stop_lat,stop_lon,has_park,type,stop_name,x,y,stop_key,nodeid
STOP_8e13caee-d611-4ee5-a524-c62aa6e4eae9,7.9,A,33.82128296,-84.36898249,False,grta,Lindbergh Center MARTA Station,2235139.565,1390091.195,STOP_8e13caee-d611-4ee5-a524-c62aa6e4eae9_075400,201584
Sugarloaf Mills P&R (GCT),7.66666666667,A,33.98331276,-84.08417535,True,grta,Sugarloaf Mills P&R (GCT),2321588.766,1448999.58,Sugarloaf Mills P&R (GCT)_074000,500098
STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85,7.76666666667,A,33.9842748,-84.0794849,True,grta,Sugarloaf Mills P&R,2323010.276,1449350.825,STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85_074600,302401
STOP_8e13caee-d611-4ee5-a524-c62aa6e4eae9,8.41666666667,A,33.82128296,-84.36898249,False,grta,Lindbergh Center MARTA Station,2235139.565,1390091.195,STOP_8e13caee-d611-4ee5-a524-c62aa6e4eae9_082500,201584
6904,6.58333333333,A,33.7661533,-84.3874776,False,grta,W Peachtree St @ Civic Center MARTA Station (northbound),2229479.549,1370042.694,6904_063500,51097
6894,6.63916666667,A,33.7721199,-84.3872631,False,grta,W Peachtree St @ Ponce de Leon Ave,2229549.381,1372213.614,6894_063821,51862
6896,6.67638888889,A,33.7760885,-84.3872416,False,grta,W Peachtree St @ 5th St,2229559.005,1373657.651,6896_064035,51879
6897,6.71777777778,A,33.780596,-84.387328,False,grta,W Peachtree St @ Peachtree Pl,2229536.263,1375297.849,6897_064304,51929
W Peachtree St @ 12th St,6.75333333333,A,33.78425259,-84.38782298,False,grta,W Peachtree St @ 12th St,2229388.721,1376628.693,W Peachtree St @ 12th St_064512,51931
6900,6.77861111111,A,33.7869499,-84.3877137,False,grta,W Peachtree St after 14 St,2229424.03,1377610.092,6900_064643,51950
6899,6.8,A,33.7892148,-84.3876922,False,grta,W Peachtree St @ Arts Center MARTA Station,2229432.33,1378434.207,6899_064800,285785
6991,6.0,A,34.0751992,-83.9215887,True,grta,Hamilton Mill P&R,2370793.382,1482514.375,6991_060000,208416
6988,6.26666666667,A,34.0674946,-83.9828107,True,grta,Mall of Georgia P&R,2352260.263,1479671.897,6988_061600,126369
6904,6.96666666667,A,33.7661533,-84.3874776,False,grta,W Peachtree St @ Civic Center MARTA Station (northbound),2229479.549,1370042.694,6904_065800,51097
6894,7.03111111111,A,33.7721199,-84.3872631,False,grta,W Peachtree St @ Ponce de Leon Ave,2229549.381,1372213.614,6894_070152,51862
6896,7.07388888889,A,33.7760885,-84.3872416,False,grta,W Peachtree St @ 5th St,2229559.005,1373657.651,6896_070426,51879
6897,7.12194444444,A,33.780596,-84.387328,False,grta,W Peachtree St @ Peachtree Pl,2229536.263,1375297.849,6897_070719,51929
W Peachtree St @ 12th St,7.16305555556,A,33.78425259,-84.38782298,False,grta,W Peachtree St @ 12th St,2229388.721,1376628.693,W Peachtree St @ 12th St_070947,51931
