dist,duration,route_id1,route_id2,service_id,stop1,stop2,stop_key1,stop_key2,stop_sequence1,stop_sequence2,thrs1,thrs2,trip_id1,trip_id2,type
1.6114014143,0.983333333333,10909.0,10912.0,5.0,485,270.0,485_080500,270_090400,3.0,10.0,8.08333333333,9.06666666667,3764641.0,3767424.0,transfer
1.6114014143,0.15,10909.0,10912.0,5.0,485,270.0,485_081500,270_082400,3.0,10.0,8.25,8.4,3764642.0,3767420.0,transfer
1.6114014143,0.316666666667,10909.0,10912.0,5.0,485,270.0,485_081500,270_083400,3.0,10.0,8.25,8.56666666667,3764642.0,3767421.0,transfer
1.6114014143,0.483333333333,10909.0,10912.0,5.0,485,270.0,485_081500,270_084400,3.0,10.0,8.25,8.73333333333,3764642.0,3767422.0,transfer
1.6114014143,0.65,10909.0,10912.0,5.0,485,270.0,485_081500,270_085400,3.0,10.0,8.25,8.9,3764642.0,3767423.0,transfer
1.6114014143,0.816666666667,10909.0,10912.0,5.0,485,270.0,485_081500,270_090400,3.0,10.0,8.25,9.06666666667,3764642.0,3767424.0,transfer
1.6114014143,0.983333333333,10909.0,10912.0,5.0,485,270.0,485_081500,270_091400,3.0,10.0,8.25,9.23333333333,3764642.0,3767425.0,transfer
1.6114014143,0.15,10909.0,10912.0,5.0,485,270.0,485_082500,270_083400,3.0,10.0,8.41666666667,8.56666666667,3764643.0,3767421.0,transfer
1.6114014143,0.316666666667,10909.0,10912.0,5.0,485,270.0,485_082500,270_084400,3.0,10.0,8.41666666667,8.73333333333,3764643.0,3767422.0,transfer
1.6114014143,0.483333333333,10909.0,10912.0,5.0,485,270.0,485_082500,270_085400,3.0,10.0,8.41666666667,8.9,3764643.0,3767423.0,transfer
1.6114014143,0.65,10909.0,10912.0,5.0,485,270.0,485_082500,270_090400,3.0,10.0,8.41666666667,9.06666666667,3764643.0,3767424.0,transfer
1.6114014143,0.816666666667,10909.0,10912.0,5.0,485,270.0,485_082500,270_091400,3.0,10.0,8.41666666667,9.23333333333,3764643.0,3767425.0,transfer
1.6114014143,0.983333333333,10909.0,10912.0,5.0,485,270.0,485_082500,270_092400,3.0,10.0,8.41666666667,9.4,3764643.0,3767426.0,transfer
1.6114014143,0.15,10909.0,10912.0,5.0,485,270.0,485_083500,270_084400,3.0,10.0,8.58333333333,8.73333333333,3764644.0,3767422.0,transfer
1.6114014143,0.316666666667,10909.0,10912.0,5.0,485,270.0,485_083500,270_085400,3.0,10.0,8.58333333333,8.9,3764644.0,3767423.0,transfer
1.6114014143,0.483333333333,10909.0,10912.0,5.0,485,270.0,485_083500,270_090400,3.0,10.0,8.58333333333,9.06666666667,3764644.0,3767424.0,transfer
1.6114014143,0.65,10909.0,10912.0,5.0,485,270.0,485_083500,270_091400,3.0,10.0,8.58333333333,9.23333333333,3764644.0,3767425.0,transfer
1.6114014143,0.816666666667,10909.0,10912.0,5.0,485,270.0,485_083500,270_092400,3.0,10.0,8.58333333333,9.4,3764644.0,3767426.0,transfer
