road type,fuel type,avg speed mph,energy_kjpermile,energy_kjperhr,energy_kwhpermile,energy_kwhperhr
local,cng,64,19854.36654,1270679.459,5.515106229,352.9667987
local,cng,65,20064.72893,1304207.381,5.573540274,362.2801178
local,cng,66,20268.72911,1337736.121,5.630207035,371.5936643
local,cng,67,20466.6166,1371263.312,5.685175825,380.9067803
local,cng,68,20658.73333,1404793.867,5.738541627,390.2208307
local,cng,69,20845.23185,1438320.998,5.790346813,399.5339301
local,cng,70,21026.44471,1471851.13,5.840683759,408.8478631
local,cng,71,21202.53162,1505379.745,5.889596827,418.1613747
local,cng,72,21373.70953,1538907.086,5.937146285,427.4745325
local,cng,73,21586.50454,1575814.832,5.996256059,437.7266923
local,cng,74,21976.17732,1626237.121,6.104498583,451.7328951
local,cng,75,22355.46003,1676659.503,6.209854978,465.7391233
local,cng,76,22724.76266,1727081.962,6.312439123,479.7453733
local,cng,77,23084.47611,1777504.661,6.412359605,493.7516896
local,cng,78,23314.5862,1818537.724,6.476279126,505.1497718
local,cng,79,23019.46486,1818537.724,6.394300909,505.1497718
local,cng,80,22731.72155,1818537.724,6.314372148,505.1497718
local,diesel,1,261436.4544,261436.4544,72.62129543,72.62129543
local,diesel,2,131166.764,262333.528,36.43524137,72.87048274
local,diesel,3,88722.00541,266166.0162,24.64502122,73.93506366
local,diesel,4,67499.68854,269998.7542,18.74992848,74.99971393
local,diesel,5,55939.78564,279698.9282,15.53884178,77.69420888
local,diesel,6,49700.20928,298201.2557,13.80562473,82.8337484
local,diesel,7,45243.32301,316703.2611,12.56759978,87.97319845
local,diesel,8,41900.64747,335205.1798,11.63907805,93.11262442
local,diesel,9,39300.8405,353707.5645,10.91690887,98.25217985
local,diesel,10,37220.96487,372209.6487,10.33916518,103.3916518
local,diesel,11,35499.6237,390495.8607,9.861014472,108.4711592
local,diesel,12,34023.30131,408279.6157,9.450924591,113.4110951
local,diesel,13,32774.05027,426062.6535,9.103910136,118.3508318
local,diesel,14,31703.28148,443845.9407,8.806474123,123.2906377
local,diesel,15,30775.32315,461629.8473,8.548707714,128.2306157
local,diesel,16,29935.41511,478966.6418,8.315399738,133.0463958
local,diesel,17,29154.98594,495634.761,8.098613684,137.6764326
local,diesel,18,28461.27292,512302.9126,7.905915469,142.3064784
local,diesel,19,27840.5719,528970.8661,7.733498381,146.9364692
local,diesel,20,27281.94104,545638.8208,7.578323018,151.5664604
local,diesel,21,26748.81375,561725.0888,7.430231986,156.0348717
local,diesel,22,26158.44927,575485.8839,7.266241721,159.8573179
local,diesel,23,25619.36074,589245.297,7.116494788,163.6793801
local,diesel,24,25125.22297,603005.3513,6.979234186,167.5016205
local,diesel,25,24827.10237,620677.5593,6.896422842,172.4105711
local,diesel,26,24702.4266,642263.0916,6.861790656,178.4065571
local,diesel,27,24586.99173,663848.7767,6.829725389,184.4025855
local,diesel,28,24479.78862,685434.0814,6.799946723,190.3985083
local,diesel,29,24379.97804,707019.3632,6.77222154,196.3944247
local,diesel,30,24286.8298,728604.894,6.746347008,202.3904102
local,diesel,31,24199.68495,750190.2335,6.722140086,208.3863427
local,diesel,32,23496.5947,751891.0304,6.526837083,208.8587866
local,diesel,33,22233.53096,733706.5217,6.175985763,203.8075302
local,diesel,34,21044.75999,715521.8397,5.845771341,198.7562256
local,diesel,35,20480.69544,716824.3404,5.689086618,199.1180316
local,diesel,36,20308.83289,731117.984,5.641346983,203.0884914
local,diesel,37,20146.26525,745411.8143,5.596189269,207.0590029
local,diesel,38,19992.25958,759705.864,5.553409882,211.0295755
local,diesel,39,19846.1122,773998.3758,5.512813355,214.9997208
local,diesel,40,19707.31193,788292.4772,5.474257693,218.9703077
local,diesel,41,19575.2594,802585.6354,5.437576406,222.9406326
local,diesel,42,19449.49482,816878.7824,5.402641772,226.9109544
local,diesel,43,19329.59025,831172.3808,5.36933492,230.8814016
local,diesel,44,19215.12243,845465.3869,5.337538278,234.8516842
local,diesel,45,19110.38815,859967.4668,5.3084454,238.880043
local,diesel,46,19014.69408,874675.9277,5.281863692,242.9657298
local,diesel,47,18923.04462,889383.0971,5.256405488,247.051058
local,diesel,48,18835.25236,904092.1133,5.23201873,251.136899
local,diesel,49,18751.03553,918800.741,5.208625147,255.2226322
local,diesel,50,18670.15346,933507.673,5.186157888,259.3078944
local,diesel,51,18592.47187,948216.0654,5.164579651,263.3935622
local,diesel,52,18517.79759,962925.4747,5.143836779,267.4795125
local,diesel,53,18445.89855,977632.6232,5.123864807,271.5648348
local,diesel,54,18376.68884,992341.1974,5.104639873,275.6505531
local,diesel,55,18309.99158,1007049.537,5.086112841,279.7362063
local,diesel,56,18268.40535,1023030.7,5.074561101,284.1754217
local,diesel,57,18243.16868,1039860.615,5.06755091,288.8504018
local,diesel,58,18218.80224,1056690.53,5.060782449,293.525382
local,diesel,59,18195.26186,1073520.45,5.054243449,298.2003635
local,diesel,60,18172.5063,1090350.378,5.047922455,302.8753473
local,diesel,61,18348.74619,1119273.518,5.096878019,310.9095592
local,diesel,62,18649.32962,1156258.436,5.180373483,321.183156
local,diesel,63,18940.39037,1193244.593,5.261223756,331.4570966
local,diesel,64,19222.35108,1230230.469,5.339546238,341.7309593
local,diesel,65,19495.62356,1267215.531,5.415455321,352.0045959
local,diesel,66,19760.626,1304201.316,5.489067169,362.2784332
local,diesel,67,20017.6923,1341185.384,5.560474532,372.5517936
local,diesel,68,20267.25053,1378173.036,5.629796318,382.8261496
local,diesel,69,20509.522,1415157.018,5.697094002,393.0994861
local,diesel,70,20744.91857,1452144.3,5.762481991,403.3737393
local,diesel,71,20973.66128,1489129.951,5.826021683,413.6475395
local,diesel,72,21196.02998,1526114.159,5.887790816,423.9209387
local,diesel,73,21446.55167,1565598.272,5.95738023,434.8887568
local,diesel,74,21825.32865,1615074.32,6.062596142,448.6321145
local,diesel,75,22194.00613,1664550.46,6.165006635,462.3754976
local,diesel,76,22552.98008,1714026.486,6.264721701,476.1188493
local,diesel,77,22902.6356,1763502.941,6.361848312,489.86232
local,diesel,78,23125.20398,1803765.91,6.423672911,501.0464871
local,diesel,79,22832.47988,1803765.911,6.342360596,501.0464871
local,diesel,80,22547.07388,1803765.91,6.263081088,501.0464871
